,OlfN,TotalN,Tokens,OAI,OSI
american_NN,21,69273,"['american_NNPS', 'american_NNP']",-11.687688110629907,11.13799746269967
more_RB,162,383339,['more_RBR'],-11.20841125352667,8.190464882593805
cup_NN,20,8959,"['cup_NN', 'cup_NNP', 'cup_NNS']",-8.807193898000191,11.208386790591067
color_NN,106,52746,"['color_NN', 'color_NNS', 'color_NNP']",-8.95885361598196,8.80239443091523
deep_JJ,10,32221,"['deep_JJ', 'deep_JJR']",-11.653785554394128,12.208386790591067
aroma_NN,38,977,"['aroma_NN', 'aroma_NNS']",-4.6842872385248,10.282387372034844
sort_NN,22,33936,"['sort_NN', 'sort_NNS']",-10.591097286893257,11.070883266841133
green_JJ,29,20170,['green_JJ'],-9.441942468372751,10.672333890350858
age_NN,22,78928,"['age_NNS', 'age_NN']",-11.808817953357195,11.070883266841133
cause_VB,35,95909,"['cause_VB', 'cause_VBD', 'cause_VBN', 'cause_VBZ', 'cause_VBG', 'cause_VBP']",-11.420095565190271,10.401031868533464
sense_NN,119,61765,['sense_NN'],-9.019684162617317,8.635497122170486
metallic_JJ,33,1414,['metallic_JJ'],-5.421172285450945,10.485920766119976
eat_VB,99,37453,"['eat_VBG', 'eat_VB', 'eat_VBD', 'eat_VBP', 'eat_VBZ', 'eat_VBN']",-8.563437043221352,8.90095826539882
person_NN,41,158501,"['person_NN', 'person_NNS']",-11.916580412331612,10.172762880860347
affect_VB,56,73814,"['affect_VBN', 'affect_VB', 'affect_VBG', 'affect_VBZ', 'affect_VBP', 'affect_VBD']",-10.36425192980788,9.722959963420825
depend_VB,49,53617,"['depend_VBG', 'depend_VBZ', 'depend_VBP', 'depend_VB']",-10.095693034758375,9.915605041363222
red_JJ,18,24591,['red_JJ'],-10.415917781837663,11.360389884036117
different_JJ,217,197565,['different_JJ'],-9.830416628191868,7.76876365303395
use_NN,16,209283,"['use_NN', 'use_NNP']",-13.675095601072092,11.53031488547843
chicken_NN,45,5804,"['chicken_NN', 'chicken_NNP']",-7.0109787077370695,10.038461789148755
lemon_NN,15,1128,"['lemon_NN', 'lemon_NNP', 'lemon_NNS']",-6.232660756790275,11.623424289869911
staff_NN,11,128537,"['staff_NN', 'staff_NNP']",-13.512392561778748,12.070883266841133
relate_VB,12,90519,"['relate_VBN', 'relate_VBG', 'relate_VB', 'relate_VBZ']",-12.880970525485575,11.945352384757273
habit_NN,48,12338,"['habit_NNS', 'habit_NN']",-8.005858430209368,9.945352384757273
compromise_VB,8,7371,"['compromise_VB', 'compromise_VBG', 'compromise_VBD', 'compromise_VBN']",-9.84764464308332,12.53031488547843
broth_NN,8,575,['broth_NN'],-6.167418145831737,12.53031488547843
melt_VB,11,4962,"['melt_VBG', 'melt_VB', 'melt_VBD', 'melt_VBZ', 'melt_VBP', 'melt_VBN']",-8.817274401255133,12.070883266841133
cream_NN,31,4864,"['cream_NN', 'cream_NNP']",-7.29373120305671,10.576118575091554
right_RB,18,41699,['right_RB'],-11.177800164358858,11.360389884036117
basic_JJ,10,60613,['basic_JJ'],-12.565411534204216,12.208386790591067
sour_JJ,57,1043,['sour_JJ'],-4.193633428355024,9.697424871313688
element_NN,11,62349,"['element_NN', 'element_NNS']",-12.468647182128118,12.070883266841133
recognize_VB,9,60358,"['recognize_VBN', 'recognize_VB', 'recognize_VBD', 'recognize_VBP']",-12.711332380163153,12.360389884036117
fish_NN,48,27553,['fish_NN'],-9.164959288350348,9.945352384757273
juice_NN,32,5020,"['juice_NN', 'juice_NNS']",-7.293471648838135,10.53031488547843
reduce_VB,19,106453,"['reduce_VBN', 'reduce_VB', 'reduce_VBG', 'reduce_VBP', 'reduce_VBZ', 'reduce_VBD']",-12.451929568595892,11.282387372034844
free_JJ,34,91395,['free_JJ'],-11.392364779375487,10.44285204422809
high_JJ,55,282619,"['high_JJ', 'high_JJS', 'high_JJR']",-12.327139219805348,9.74895517195377
involve_VB,14,140535,"['involve_VB', 'involve_VBN', 'involve_VBG', 'involve_VBZ', 'involve_VBP']",-13.293215028292645,11.722959963420825
child_NN,56,322065,"['child_NNS', 'child_NN', 'child_NNP']",-12.489637438588806,9.722959963420825
alone_RB,15,34279,['alone_RB'],-11.158146807157852,11.623424289869911
nothing_NN,40,58715,['nothing_NN'],-10.519513402326607,10.208386790591067
addition_NN,27,108804,"['addition_NN', 'addition_NNS']",-11.976484568145471,10.77542738331496
delicate_JJ,16,3687,['delicate_JJ'],-7.848231701093818,11.53031488547843
raw_JJ,21,9128,['raw_JJ'],-8.763765653509921,11.13799746269967
air_NN,16,54158,"['air_NN', 'air_NNS']",-11.72488684218174,11.53031488547843
leave_VB,160,147400,"['leave_VB', 'leave_VBP', 'leave_VBN', 'leave_VBZ', 'leave_VBD', 'leave_VBG']",-9.847448903982432,8.208386790591067
bread_NN,33,6750,"['bread_NN', 'bread_NNP', 'bread_NNS']",-7.676277667467102,10.485920766119976
amount_NN,13,97261,"['amount_NN', 'amount_NNS']",-12.869134086293874,11.829875167337338
visual_JJ,18,20585,['visual_JJ'],-10.15938082676632,11.360389884036117
hearing_NN,113,32738,['hearing_NN'],-8.17849960583039,8.710135923063243
disturbance_NN,9,5131,"['disturbance_NNS', 'disturbance_NN']",-9.155099308749104,12.360389884036117
few_JJ,61,157512,"['few_JJ', 'few_JJR']",-11.334364880921441,9.599577547915544
calorie_NN,8,3470,['calorie_NNS'],-8.760719947465622,12.53031488547843
life_NN,134,245614,"['life_NN', 'life_NNS', 'life_NNP']",-10.839944080659958,8.464225695020657
bar_NN,28,25881,"['bar_NN', 'bar_NNS']",-9.852250819303286,10.722959963420825
technology_NN,14,173078,"['technology_NN', 'technology_NNP', 'technology_NNS']",-13.593707907309005,11.722959963420825
work_VB,32,359898,"['work_VB', 'work_VBZ', 'work_VBG', 'work_VBP', 'work_VBN', 'work_VBD']",-13.457228559477727,10.53031488547843
touch_NN,149,13184,"['touch_NN', 'touch_NNP', 'touch_NNS']",-6.4673320067210565,8.311146365016269
sens_NN,48,3703,['sens_NNS'],-6.269516333450474,9.945352384757273
vision_NN,23,26734,['vision_NN'],-10.182826136435327,11.006752929421417
other_JJ,143,743117,['other_JJ'],-12.343358511317453,8.37044354870004
too_RB,165,133368,['too_RB'],-9.65873081142583,8.163992671232615
invite_VB,10,21961,"['invite_VBN', 'invite_VBG', 'invite_VBZ', 'invite_VBP']",-11.10072803400491,12.208386790591067
country_NN,38,211253,"['country_NNS', 'country_NN', 'country_NNP']",-12.440684790219485,10.282387372034844
earthy_JJ,8,475,['earthy_JJ'],-5.8917837032183105,12.53031488547843
ingredient_NN,27,7846,"['ingredient_NN', 'ingredient_NNS']",-8.182854117913626,10.77542738331496
think_VB,77,247447,"['think_VBN', 'think_VBP', 'think_VBD', 'think_VB', 'think_VBG', 'think_VBZ']",-11.649973485094698,9.263528344783529
year_NN,61,629212,"['year_NN', 'year_NNS']",-13.332449322210175,9.599577547915544
round_NN,10,18220,"['round_NN', 'round_NNS']",-10.831307243802051,12.208386790591067
call_VB,38,155273,"['call_VBN', 'call_VB', 'call_VBZ', 'call_VBD']",-11.996519946207153,10.282387372034844
experience_NN,87,170157,"['experience_NN', 'experience_NNS']",-10.933563481390019,9.087371389629702
side_NN,32,89218,"['side_NN', 'side_NNS']",-11.445047187127173,10.53031488547843
feeling_NN,33,31148,"['feeling_NNS', 'feeling_NN']",-9.882457791571424,10.485920766119976
desire_NN,29,23027,"['desire_NN', 'desire_NNS']",-9.63305785082637,10.672333890350858
