,OlfN,TotalN,Tokens,OAI,OSI
insurance_NN,179,48900,"['insurance_NN', 'insurance_NNP']",-8.093731067462702,12.500206248659477
young_JJ,1155,99128,"['young_JJ', 'young_JJR', 'young_JJS']",-6.42332786630355,9.810344889620314
best_JJ,1060,134089,['best_JJS'],-6.982982815499587,9.934173476473173
other_JJ,4745,743117,['other_JJ'],-7.291037476187371,7.771829654015263
century_NN,356,56686,"['century_NN', 'century_NNS', 'century_NNP']",-7.314971418767664,11.508288594957337
ask_VB,931,146084,"['ask_VB', 'ask_VBN', 'ask_VBD', 'ask_VBG', 'ask_VBP', 'ask_VBZ']",-7.293801291017313,10.121384668364941
policy_NN,838,201563,"['policy_NN', 'policy_NNP', 'policy_NNS']",-7.910064874934672,10.273215592224382
last_JJ,2314,165228,"['last_JJ', 'last_JJS']",-6.157925515949801,8.807848876816244
get_VB,3726,394532,"['get_VB', 'get_VBP', 'get_VBZ', 'get_VBD', 'get_VBG', 'get_VBN']",-6.726370835680713,8.120610066982097
rest_NN,178,35543,"['rest_NN', 'rest_NNP']",-7.641544405483181,12.508288594957337
community_NN,874,242465,"['community_NN', 'community_NNS', 'community_NNP', 'community_NNPS']",-8.115927513181537,10.212532556423136
program_NN,1765,513286,"['program_NN', 'program_NNS', 'program_NNP']",-8.183950917506628,9.198569557765191
market_NN,656,144099,"['market_NN', 'market_NNS', 'market_NNP']",-7.779148793533701,10.62647002130565
free_JJ,326,92116,"['free_JJ', 'free_JJR', 'free_JJS']",-8.142435990927469,11.635293871692657
remember_VB,565,49137,"['remember_VB', 'remember_VBZ', 'remember_VBP', 'remember_VBD', 'remember_VBG', 'remember_VBN']",-6.442415100638003,10.841914968621184
thing_NN,4155,184672,"['thing_NNS', 'thing_NN', 'thing_NNP']",-5.473972854013514,7.963389264266027
same_JJ,1654,227192,['same_JJ'],-7.101808990092602,9.29227850675246
as_RB,2409,311769,['as_RB'],-7.015899280456993,8.749803347685264
economic_JJ,356,95236,['economic_JJ'],-8.06348597593898,11.508288594957337
build_VB,336,110743,"['build_VBD', 'build_VBP', 'build_VBG', 'build_VBN', 'build_VB', 'build_VBZ']",-8.364538561413955,11.591704603144974
study_NN,699,245025,"['study_NN', 'study_NNP', 'study_NNS', 'study_NNPS']",-8.453420784558508,10.534873380548298
hall_NN,211,33622,"['hall_NN', 'hall_NNS', 'hall_NNP']",-7.316018736483018,12.26292283721655
staff_NN,451,129996,"['staff_NN', 'staff_NNP', 'staff_NNS', 'staff_NNPS']",-8.171124083135572,11.167038402668354
behavior_NN,387,62816,"['behavior_NNS', 'behavior_NN', 'behavior_NNP', 'behavior_NNPS']",-7.342654701321761,11.387832269779324
result_NN,1810,193322,"['result_NNS', 'result_NN']",-6.738872317728114,9.162248043953166
future_NN,715,61902,"['future_NN', 'future_NNPS', 'future_NNP', 'future_NNS']",-6.435898970303351,10.502222594257983
role_NN,558,110638,"['role_NN', 'role_NNS', 'role_NNP', 'role_NNPS']",-7.631366144886894,10.859900714094547
yet_RB,1447,84312,['yet_RB'],-5.864601155411803,9.485172819392009
movie_NN,1312,32226,"['movie_NN', 'movie_NNS', 'movie_NNP', 'movie_NNPS']",-4.618385502258606,9.62647002130565
church_NN,387,49260,"['church_NNS', 'church_NN', 'church_NNP', 'church_NNPS']",-6.991939251241913,11.387832269779324
represent_VB,224,79227,"['represent_VBG', 'represent_VBP', 'represent_VBN', 'represent_VB', 'represent_VBZ', 'represent_VBD']",-8.466349631836334,12.17666710386613
example_NN,2176,176656,"['example_NN', 'example_NNS', 'example_NNP']",-6.343120383395752,8.896559184673395
'll_MD,4199,72720,"[""'ll_MD""]",-4.1142345062464525,7.948191953088718
dozen_NN,168,15393,"['dozen_NNS', 'dozen_NN']",-6.517669388133812,12.591704603144974
family_NN,1132,209167,"['family_NNS', 'family_NN', 'family_NNP']",-7.529637489060954,9.839363783091851
teach_VB,190,61683,"['teach_VBD', 'teach_VB', 'teach_VBG', 'teach_VBN', 'teach_VBP', 'teach_VBZ']",-8.342729704757296,12.414166417592787
america_NN,663,82363,"['america_NNP', 'america_NNPS', 'america_NN']",-6.95684369926495,10.611156965811146
true_JJ,426,59226,"['true_JJ', 'true_JJR', 'true_JJS']",-7.119233412145154,11.249312405697896
face_NN,1347,40172,"['face_NN', 'face_NNS', 'face_NNP']",-4.898368533159216,9.588487890461431
hardly_RB,195,10051,['hardly_RB'],-5.687721111808001,12.376691712174123
much_JJ,1644,120610,['much_JJ'],-6.196995419488232,9.301027442242052
television_NN,558,29202,"['television_NN', 'television_NNS', 'television_NNP']",-5.709658248170471,10.859900714094547
know_VB,1929,344131,"['know_VB', 'know_VBP', 'know_VBD', 'know_VBZ', 'know_VBG', 'know_VBN']",-7.478960905134542,9.07038459787463
form_NN,951,151411,"['form_NNS', 'form_NN', 'form_NNP', 'form_NNPS']",-7.314808964414896,10.09072049506317
desire_NN,359,23379,"['desire_NN', 'desire_NNS', 'desire_NNPS', 'desire_NNP']",-6.025085567901573,11.496181992100682
complex_JJ,157,42546,['complex_JJ'],-8.082115132688271,12.689401277032108
line_NN,905,125332,"['line_NNS', 'line_NN', 'line_NNP', 'line_NNPS']",-7.113621305746778,10.162248043953166
nothing_NN,1164,58750,"['nothing_NN', 'nothing_NNP']",-5.657425888318802,9.79914668301545
follow_VB,752,162391,"['follow_VBG', 'follow_VBP', 'follow_VB', 'follow_VBD', 'follow_VBZ', 'follow_VBN']",-7.754523300755375,10.429433174246096
usually_RB,523,72943,['usually_RB'],-7.123814779364231,10.953354889676794
washington_NN,231,43495,['washington_NNP'],-7.556812902547545,12.132272984507678
