,OlfN,TotalN,Tokens,OAI,OSI
powerful_JJ,11,29710,['powerful_JJ'],-11.39922936608548,10.693328550138101
recognize_VB,18,69317,"['recognize_VBN', 'recognize_VB', 'recognize_VBD', 'recognize_VBP', 'recognize_VBZ']",-11.910996594942498,9.982835167333088
bag_NN,13,16366,"['bag_NNS', 'bag_NN']",-10.297974418448169,10.452320450634307
hall_NN,10,33617,"['hall_NNS', 'hall_NN', 'hall_NNP']",-11.714975268063137,10.830832073888038
fear_NN,9,19749,['fear_NN'],-11.09956698169733,10.982835167333088
nature_NN,14,66048,"['nature_NN', 'nature_NNS']",-12.20387233336565,10.345405246717796
note_VB,17,68452,"['note_VB', 'note_VBN', 'note_VBD', 'note_VBP']",-11.975342232418214,10.06529732752506
provide_VB,9,354667,"['provide_VB', 'provide_VBZ', 'provide_VBP']",-15.266180573915562,10.982835167333088
foot_NN,31,35938,['foot_NNS'],-10.179026192246146,9.198563858388525
catch_VB,16,24364,"['catch_VB', 'catch_VBZ', 'catch_VBD', 'catch_VBN', 'catch_VBG']",-10.572463389083676,10.1527601687754
part_NN,11,249384,"['part_NNS', 'part_NN']",-14.468577763384408,10.693328550138101
urine_NN,28,3772,['urine_NN'],-7.073759038617492,9.345405246717796
bit_NN,17,47515,"['bit_NN', 'bit_NNS']",-11.448632567730552,10.06529732752506
money_NN,13,90399,['money_NN'],-12.763579474944612,10.452320450634307
wake_VB,24,5972,"['wake_VBN', 'wake_VB', 'wake_VBZ', 'wake_VBP', 'wake_VBD', 'wake_VBG']",-7.959035949413385,9.567797668054244
close_RB,14,15951,['close_RB'],-10.154004329746392,10.345405246717796
fact_NN,16,144749,"['fact_NN', 'fact_NNS']",-13.143193855811777,10.1527601687754
teen_NN,13,492,['teen_NNP'],-5.242074787198147,10.452320450634307
probably_RB,19,58340,['probably_RB'],-11.584270252341955,9.904832655331814
characteristic_JJ,10,4817,['characteristic_JJ'],-8.911991113699615,10.830832073888038
remember_VB,18,44197,"['remember_VBP', 'remember_VBD', 'remember_VB', 'remember_VBZ']",-11.261735823922711,9.982835167333088
need_VB,14,278649,"['need_VB', 'need_VBP', 'need_VBN', 'need_VBZ']",-14.280734528340966,10.345405246717796
sex_NN,8,22510,['sex_NN'],-11.458278436341518,11.1527601687754
face_NN,9,33529,['face_NN'],-11.863196833605228,10.982835167333088
appearance_NN,10,14535,['appearance_NN'],-10.505315356136236,10.830832073888038
truck_NN,11,12351,"['truck_NN', 'truck_NNS']",-10.132908615405128,10.693328550138101
floor_NN,12,31816,"['floor_NNS', 'floor_NN']",-11.372502346084055,10.567797668054244
play_VB,9,60222,"['play_VB', 'play_VBZ', 'play_VBG']",-12.708077999523574,10.982835167333088
cigarette_NN,33,11437,"['cigarette_NN', 'cigarette_NNS']",-8.437026933573419,9.108366049416945
thought_NN,11,31852,"['thought_NNS', 'thought_NN']",-11.499664723644669,10.693328550138101
