,OlfN,TotalN,Tokens,OAI,OSI
quality_NN,60,126228,"['quality_NN', 'quality_NNP', 'quality_NNS']",-11.038781844462036,12.524198875074083
return_VB,90,71525,"['return_VBD', 'return_VBG', 'return_VB', 'return_VBN', 'return_VBP', 'return_VBZ']",-9.634306875768234,11.939236374352927
adequate_JJ,37,22779,['adequate_JJ'],-9.265963427924047,13.221636105053653
protection_NN,83,60222,"['protection_NN', 'protection_NNP', 'protection_NNS']",-9.502963569618963,12.056050039335677
examination_NN,40,33134,"['examination_NN', 'examination_NNS', 'examination_NNP']",-9.694096663505697,13.10916137579524
additional_JJ,179,85500,['additional_JJ'],-8.899821022283728,10.947273693418346
alarm_NN,45,6893,"['alarm_NN', 'alarm_NNS']",-7.2590632036484,12.939236374352927
commence_VB,71,6061,"['commence_VBN', 'commence_VB', 'commence_VBG', 'commence_VBD', 'commence_VBP', 'commence_VBZ']",-6.415593007703773,12.281342351177921
engine_NN,40,27507,"['engine_NN', 'engine_NNS', 'engine_NNP']",-9.425583088033717,13.10916137579524
pop_NN,47,7788,"['pop_NN', 'pop_NNP']",-7.372448317042657,12.876500619004965
affair_NN,49,31236,"['affair_NNS', 'affair_NNPS', 'affair_NNP', 'affair_NN']",-9.316212253010061,12.816379626567395
quickly_RB,48,41640,['quickly_RB'],-9.760719947465622,12.846126969961446
light_JJ,40,31792,"['light_JJ', 'light_JJR']",-9.634448062362308,13.10916137579524
carry_VB,35,73203,"['carry_VB', 'carry_VBN', 'carry_VBD', 'carry_VBP', 'carry_VBG']",-11.030332136748155,13.301806453737635
obtain_VB,87,73177,"['obtain_VBD', 'obtain_VBG', 'obtain_VB', 'obtain_VBN', 'obtain_VBZ']",-9.716159155160181,11.988145974833873
grant_VB,178,32024,"['grant_VBG', 'grant_VBN', 'grant_VB', 'grant_VBD']",-7.4911324694211405,10.955356039716204
desire_NN,40,23029,"['desire_NNS', 'desire_NN', 'desire_NNPS']",-9.169236050271184,13.10916137579524
fear_NN,48,24886,"['fear_NN', 'fear_NNS']",-9.018084239162672,12.846126969961446
kid_NN,114,36777,"['kid_NNS', 'kid_NN', 'kid_NNP']",-8.333626165372603,11.598199456517861
advice_NN,66,28451,"['advice_NN', 'advice_NNS', 'advice_NNP']",-8.751797621674928,12.386695351324148
fan_NN,74,17615,"['fan_NNS', 'fan_NN']",-7.895063488753376,12.221636105053653
preach_VB,45,2868,"['preach_VBG', 'preach_VB', 'preach_VBP', 'preach_VBN', 'preach_VBD']",-5.99397621237223,12.939236374352927
sweet_JJ,38,7186,"['sweet_JJ', 'sweet_JJR', 'sweet_JJS']",-7.5630457065585786,13.183161957239017
miss_VB,53,30754,"['miss_VBG', 'miss_VB', 'miss_VBD', 'miss_VBP', 'miss_VBN']",-9.180565990880755,12.703169016119404
october_NN,165,27582,['october_NNP'],-7.385117237292144,11.064767256436786
impartial_JJ,49,1662,['impartial_JJ'],-5.083994822655137,12.816379626567395
shock_VB,67,2368,"['shock_VBN', 'shock_VB']",-5.143364175171177,12.36500028022483
suffer_VB,53,34887,"['suffer_VBN', 'suffer_VB', 'suffer_VBP', 'suffer_VBD', 'suffer_VBG', 'suffer_VBZ']",-9.36248146774045,12.703169016119404
organize_VB,56,36370,"['organize_VBN', 'organize_VBG', 'organize_VB', 'organize_VBP', 'organize_VBD', 'organize_VBZ']",-9.343106383285376,12.623734548624999
anybody_NN,73,5786,['anybody_NN'],-6.308526049049583,12.241264911802585
method_NN,41,112706,"['method_NNS', 'method_NN']",-11.424652790473777,13.073537466064518
sign_VB,35,35934,"['sign_VBG', 'sign_VB', 'sign_VBN', 'sign_VBD', 'sign_VBP']",-10.003778900754577,13.301806453737635
large_JJ,83,206529,"['large_JJ', 'large_JJR', 'large_JJS']",-11.280945416592587,12.056050039335677
fall_VB,50,43060,"['fall_VBG', 'fall_VB', 'fall_VBZ', 'fall_VBP', 'fall_VBN']",-9.750204509279872,12.787233280907877
ground_NN,64,59320,"['ground_NN', 'ground_NNS', 'ground_NNP']",-9.856230977341992,12.431089470682602
absence_NN,44,18087,['absence_NN'],-8.683233896121626,12.971657852045304
sufficient_JJ,35,27664,['sufficient_JJ'],-9.626439136697316,13.301806453737635
repeatedly_RB,84,7636,['repeatedly_RB'],-6.506283964625177,12.038772047903842
division_NN,92,43745,"['division_NN', 'division_NNP', 'division_NNS']",-8.893268551581759,11.907527514625588
game_NN,84,98383,"['game_NN', 'game_NNS', 'game_NNPS', 'game_NNP']",-10.193804004707857,12.038772047903842
west_NN,35,46355,"['west_NNP', 'west_NN']",-10.37115432359458,13.301806453737635
rock_NN,67,33581,"['rock_NN', 'rock_NNS', 'rock_NNP']",-8.9692683816525,12.36500028022483
scream_VB,116,3718,"['scream_VBG', 'scream_VB', 'scream_VBP', 'scream_VBD']",-5.00233005979191,11.57310847555503
text_NN,39,54477,"['text_NN', 'text_NNS']",-10.447957418290262,13.145687251820354
watch_VB,81,35496,"['watch_VB', 'watch_VBP', 'watch_VBN', 'watch_VBG', 'watch_VBD', 'watch_VBZ']",-8.7755188349356,12.091239467797978
director_NN,113,89464,"['director_NNS', 'director_NNP', 'director_NN']",-9.628840680855197,11.610910508267414
produce_VB,100,106842,"['produce_VBP', 'produce_VB', 'produce_VBN', 'produce_VBZ', 'produce_VBG', 'produce_VBD']",-10.06126317214119,11.787233280907877
distant_JJ,60,6550,['distant_JJ'],-6.770388595703657,12.524198875074083
strike_VB,39,17854,"['strike_VBP', 'strike_VBD', 'strike_VBN', 'strike_VBG', 'strike_VB', 'strike_VBZ']",-8.838557491730043,13.145687251820354
wave_NN,37,20273,"['wave_NNS', 'wave_NN']",-9.097818608639061,13.221636105053653
presently_RB,35,6212,['presently_RB'],-7.471559097442335,13.301806453737635
nobody_NN,87,8641,['nobody_NN'],-6.634039070132431,11.988145974833873
handle_VB,38,42542,"['handle_VBG', 'handle_VB', 'handle_VBN', 'handle_VBZ', 'handle_VBP', 'handle_VBD']",-10.128672725503561,13.183161957239017
affirm_VB,52,4475,"['affirm_VB', 'affirm_VBD', 'affirm_VBG', 'affirm_VBN']",-6.427232248897889,12.73064975254151
melody_NN,41,2742,"['melody_NN', 'melody_NNS']",-6.0634608511611425,13.073537466064518
list_NN,106,102157,"['list_NN', 'list_NNS']",-9.91250808365382,11.703169016119404
stuff_NN,73,16792,"['stuff_NN', 'stuff_NNP']",-7.845661892412137,12.241264911802585
english_JJ,36,12986,['english_JJ'],-8.494744492584864,13.26116446924029
environment_NN,39,107045,"['environment_NN', 'environment_NNP', 'environment_NNS']",-11.422455665556088,13.145687251820354
attempt_NN,48,34656,"['attempt_NN', 'attempt_NNS']",-9.49585502688717,12.846126969961446
withdraw_VB,46,11618,"['withdraw_VBG', 'withdraw_VBN', 'withdraw_VBD', 'withdraw_VB', 'withdraw_VBZ']",-7.980512158463564,12.907527514625588
threat_NN,39,35377,"['threat_NN', 'threat_NNS']",-9.825121872123425,13.145687251820354
service_NN,245,442483,"['service_NN', 'service_NNS', 'service_NNP', 'service_NNPS']",-10.818624563992985,10.494451531680031
floor_NN,68,32495,"['floor_NN', 'floor_NNP', 'floor_NNS']",-8.900467286281923,12.343626629432263
rise_VB,37,34418,"['rise_VBG', 'rise_VBN', 'rise_VBD', 'rise_VBP', 'rise_VB', 'rise_VBZ']",-9.861422279982117,13.221636105053653
arrange_VB,47,17097,"['arrange_VB', 'arrange_VBN', 'arrange_VBD', 'arrange_VBG', 'arrange_VBZ']",-8.50686672638511,12.876500619004965
third_JJ,71,54135,['third_JJ'],-9.574526904001068,12.281342351177921
ruling_NN,62,12921,"['ruling_NN', 'ruling_NNS']",-7.703233798576139,12.476893160295727
wall_NN,55,39174,"['wall_NNS', 'wall_NN', 'wall_NNP']",-9.476249113321122,12.649729757157942
track_NN,74,30874,"['track_NN', 'track_NNS', 'track_NNP']",-8.7046514228962,12.221636105053653
basis_NN,90,74877,['basis_NN'],-9.700381916701117,11.939236374352927
object_NN,40,62347,"['object_NN', 'object_NNS']",-10.60610442708672,13.10916137579524
assert_VB,48,13982,"['assert_VBP', 'assert_VBD', 'assert_VB', 'assert_VBZ', 'assert_VBG', 'assert_VBN']",-8.186320618919849,12.846126969961446
couple_NN,86,36901,"['couple_NN', 'couple_NNS']",-8.745107538029838,12.004824715980504
iraq_NN,36,32182,['iraq_NNP'],-9.80404136546189,13.26116446924029
official_JJ,65,23812,['official_JJ'],-8.517033365999659,12.408721657654148
doctor_NN,95,33558,"['doctor_NNS', 'doctor_NN', 'doctor_NNP']",-8.46451350737579,11.861233862351655
subject_JJ,83,51249,['subject_JJ'],-9.27019680239883,12.056050039335677
july_NN,171,28654,['july_NNP'],-7.388596412977469,11.013236955796705
arise_VB,67,33658,"['arise_VBZ', 'arise_VB', 'arise_VBG', 'arise_VBP', 'arise_VBN', 'arise_VBD']",-8.972572641582271,12.36500028022483
explosion_NN,78,5964,"['explosion_NN', 'explosion_NNS']",-6.256662323421194,12.145687251820354
ready_JJ,103,28337,['ready_JJ'],-8.10389888252693,11.744588943499384
phase_NN,40,31081,"['phase_NN', 'phase_NNS']",-9.601817206420323,13.10916137579524
juror_NN,68,4298,"['juror_NNS', 'juror_NNP', 'juror_NN']",-5.981986926177444,12.343626629432263
album_NN,93,16412,"['album_NN', 'album_NNS']",-7.463304627784503,11.891930659574571
lawyer_NN,77,22857,"['lawyer_NNS', 'lawyer_NN']",-8.21356189992476,12.1643029299877
age_NN,65,83743,"['age_NN', 'age_NNS', 'age_NNP']",-10.331313168473073,12.408721657654148
contempt_NN,38,2834,"['contempt_NN', 'contempt_NNP']",-6.2206965294744325,13.183161957239017
represent_VB,154,79219,"['represent_VBD', 'represent_VBN', 'represent_VBG', 'represent_VBP', 'represent_VBZ', 'represent_VB']",-9.006772328734463,11.1643029299877
check_VB,41,47884,"['check_VBD', 'check_VBN', 'check_VB', 'check_VBG', 'check_VBP']",-10.189704048080056,13.073537466064518
adjourn_VB,73,835,"['adjourn_VBD', 'adjourn_VB', 'adjourn_VBN', 'adjourn_VBG']",-3.5158078284813974,12.241264911802585
hospital_NN,43,49126,"['hospital_NN', 'hospital_NNS', 'hospital_NNP']",-10.157934399757673,13.004824715980504
name_VB,44,34802,"['name_VBD', 'name_VBN', 'name_VBG', 'name_VB', 'name_VBP']",-9.627450978111773,12.971657852045304
barely_RB,48,5964,['barely_RB'],-6.957102041562286,12.846126969961446
medical_JJ,69,75071,['medical_JJ'],-10.087443623637252,12.322565013904434
baby_NN,98,32560,"['baby_NN', 'baby_NNS', 'baby_NNP']",-8.376103235038402,11.816379626567395
sermon_NN,56,1543,"['sermon_NNS', 'sermon_NN', 'sermon_NNP']",-4.7841674245131305,12.623734548624999
alito_NN,36,626,['alito_NNP'],-4.120093845490306,13.26116446924029
permit_VB,79,35084,"['permit_VBN', 'permit_VBP', 'permit_VB', 'permit_VBG', 'permit_VBD', 'permit_VBZ']",-8.794744873202362,12.1273087225055
nurse_NN,69,38727,"['nurse_NN', 'nurse_NNS', 'nurse_NNP']",-9.132527669612454,12.322565013904434
situation_NN,80,77364,"['situation_NN', 'situation_NNS']",-9.917446673982734,12.10916137579524
sanction_NN,51,7736,"['sanction_NNS', 'sanction_NNPS', 'sanction_NN', 'sanction_NNP']",-7.244946737505345,12.758664128711107
initiate_VB,35,18433,"['initiate_VBG', 'initiate_VBN', 'initiate_VB', 'initiate_VBD', 'initiate_VBZ']",-9.040720253589505,13.301806453737635
refuse_VB,178,26269,"['refuse_VBD', 'refuse_VBP', 'refuse_VBG', 'refuse_VBN', 'refuse_VBZ', 'refuse_VB']",-7.20534023004049,10.955356039716204
risk_NN,58,97476,"['risk_NN', 'risk_NNS', 'risk_NNP']",-10.714778434636125,12.57310847555503
keen_JJ,38,3777,"['keen_JJ', 'keen_JJS']",-6.635097554996587,13.183161957239017
aloud_RB,36,1629,['aloud_RB'],-5.499845887083206,13.26116446924029
short_JJ,81,61419,"['short_JJ', 'short_JJR']",-9.566547399776633,12.091239467797978
dismiss_VB,97,12164,"['dismiss_VBN', 'dismiss_VB', 'dismiss_VBD', 'dismiss_VBG', 'dismiss_VBZ']",-6.97041725884367,11.831176628495475
kill_VB,49,45852,"['kill_VBN', 'kill_VBZ', 'kill_VB', 'kill_VBG', 'kill_VBD']",-9.869987198963459,12.816379626567395
popular_JJ,38,34866,['popular_JJ'],-9.84160572660198,13.183161957239017
gather_VB,81,22670,"['gather_VB', 'gather_VBP', 'gather_VBD', 'gather_VBN', 'gather_VBG']",-8.128646767743524,12.091239467797978
equipment_NN,42,59881,['equipment_NN'],-10.477493271069399,13.038772047903842
variety_NN,55,69528,"['variety_NN', 'variety_NNS']",-10.3039467564669,12.649729757157942
protect_VB,46,68709,"['protect_VBZ', 'protect_VB', 'protect_VBP', 'protect_VBG', 'protect_VBN']",-10.544649509507359,12.907527514625588
driver_NN,38,28356,"['driver_NNS', 'driver_NN']",-9.543438901251417,13.183161957239017
august_NN,101,24361,['august_NNP'],-7.91407425276069,11.772877987930807
easily_RB,44,39418,['easily_RB'],-9.807135339341233,12.971657852045304
visit_VB,56,47830,"['visit_VBG', 'visit_VB', 'visit_VBP', 'visit_VBD', 'visit_VBN', 'visit_VBZ']",-9.738273248816064,12.623734548624999
scientist_NN,57,41856,"['scientist_NN', 'scientist_NNS', 'scientist_NNP']",-9.52025681133334,12.598199456517861
recognize_VB,61,76558,"['recognize_VB', 'recognize_VBN', 'recognize_VBG', 'recognize_VBZ', 'recognize_VBD', 'recognize_VBP']",-10.29352818336,12.500352133119716
