,OlfN,TotalN,Tokens,OAI,OSI
image_NN,1611,88138,"['image_NNS', 'image_NN', 'image_NNP', 'image_NNPS']",-5.773735761,9.330281247
film_NN,1349,73903,"['film_NN', 'film_NNS', 'film_NNP', 'film_NNPS']",-5.775670677,9.586347393
one_NN,1304,71471,"['one_NN', 'one_NNS', 'one_NNPS']",-5.776342199,9.635293872
reflection_NN,189,10375,"['reflection_NN', 'reflection_NNS']",-5.778581292,12.4217796
love_VB,667,36686,"['love_VBN', 'love_VB', 'love_VBP', 'love_VBD', 'love_VBZ', 'love_VBG']",-5.78139904,10.60247907
wo_MD,453,25043,['wo_MD'],-5.788752538,11.16065479
map_NN,640,35398,"['map_NN', 'map_NNS', 'map_NNP']",-5.789452134,10.66209393
able_JJ,2314,128775,['able_JJ'],-5.798319865,8.807848877
close_RB,286,15951,['close_RB'],-5.801487915,11.82415069
expect_VB,1843,103041,"['expect_VBP', 'expect_VB', 'expect_VBZ', 'expect_VBD', 'expect_VBG', 'expect_VBN']",-5.805018619,9.13618167
guy_NN,370,20754,"['guy_NNS', 'guy_NN', 'guy_NNP']",-5.809720339,11.45264057
tourist_NN,172,9653,"['tourist_NNS', 'tourist_NN']",-5.810496909,12.55775727
paragraph_NN,258,14493,"['paragraph_NN', 'paragraph_NNS', 'paragraph_NNP', 'paragraph_NNPS']",-5.811841383,11.97279477
exactly_RB,437,24624,['exactly_RB'],-5.816288047,11.21253256
easy_JJ,1325,75021,"['easy_JJ', 'easy_JJR', 'easy_JJS']",-5.823230229,9.612245382
look_VB,3598,204454,"['look_VB', 'look_VBP', 'look_VBG', 'look_VBD', 'look_VBZ', 'look_VBN']",-5.828437292,8.171042555
bird_NN,434,24923,"['bird_NNS', 'bird_NN', 'bird_NNP']",-5.843638884,11.22247079
occasionally_RB,184,10669,['occasionally_RB'],-5.857575383,12.46046007
anywhere_RB,230,13360,['anywhere_RB'],-5.860142336,12.13853197
yet_RB,1447,84312,['yet_RB'],-5.864601155,9.485172819
first_RB,1196,70698,['first_RB'],-5.885380108,9.760020352
soon_RB,795,47561,['soon_RB'],-5.902680378,10.34921098
plenty_NN,162,9722,"['plenty_NN', 'plenty_NNP']",-5.907187416,12.64417202
kid_NN,617,37217,"['kid_NNS', 'kid_NN', 'kid_NNPS', 'kid_NNP']",-5.914547467,10.71489535
there_RB,1643,99260,['there_RB'],-5.916808069,9.301905261
everybody_NN,163,9945,['everybody_NN'],-5.931027501,12.63529387
dark_JJ,382,23334,"['dark_JJ', 'dark_JJS', 'dark_JJR']",-5.932717192,11.4065932
forward_RB,642,39341,['forward_RB'],-5.937316522,10.65759254
exciting_JJ,224,13762,['exciting_JJ'],-5.941047606,12.1766671
everyone_NN,740,45610,['everyone_NN'],-5.945681089,10.45264057
pattern_NN,775,48069,"['pattern_NNS', 'pattern_NN', 'pattern_NNPS', 'pattern_NNP']",-5.95476667,10.38596953
easily_RB,632,39418,['easily_RB'],-5.96278621,10.68024128
trend_NN,497,31000,"['trend_NNS', 'trend_NN', 'trend_NNP', 'trend_NNPS']",-5.962878553,11.02691998
